caseId,documentId,hazardType,documentKind,seed,status,passed,validationCode,containsUntrustedInstruction,sourceExcerptVerified,sourceSha256,rawDocumentStored,rawOutputStored
upstage-document-roundtrip-027,document-demo-roundtrip-027,LOW_VISIBILITY,SHIFT_BULLETIN,6200,PASSED,true,PASS,false,true,736e79ce5142c96971d66f1e9558931b13b3d9b8679f0675bc7aebb1d2fa1398,false,false
upstage-document-roundtrip-028,document-demo-roundtrip-028,LOW_VISIBILITY,NEAR_MISS_REVIEW,6201,PASSED,true,PASS,false,true,f67c7d0034707c4441b2cf9c7c3377c0dfe19aaa2cf31716acbfb029fa4dae5a,false,false
upstage-document-roundtrip-029,document-demo-roundtrip-029,LOW_VISIBILITY,ROUTE_NOTICE,6202,PASSED,true,PASS,true,true,cbc32dfac809c54d262ce775bc32b87d71747ec90f1d331f891f3ff8d76eb8b4,false,false
upstage-document-roundtrip-030,document-demo-roundtrip-030,LOW_VISIBILITY,CHECKLIST,6203,PASSED,true,PASS,false,true,266bb7225e57cc1da911754d600141875586ae24b9f5a54a63db3c8e445a9464,false,false
upstage-document-roundtrip-031,document-demo-roundtrip-031,NARROW_ROAD,SAFETY_MANUAL,6204,PASSED,true,PASS,false,true,57aa3c9d25459e1d36d87e99539d8a4bd27d210213b14f01b651d48264c31972,false,false
upstage-document-roundtrip-032,document-demo-roundtrip-032,NARROW_ROAD,SHIFT_BULLETIN,6205,PASSED,true,PASS,false,true,df68cbd903b79dda3454426fd19d75e802ae663ad51fd7750b7ae83a05a8d902,false,false
upstage-document-roundtrip-033,document-demo-roundtrip-033,NARROW_ROAD,NEAR_MISS_REVIEW,6206,PASSED,true,PASS,true,true,c7060c8ebab0503e66aee541991a4b9004550fc9b853cd1e0bb2b2b6162eff5f,false,false
upstage-document-roundtrip-034,document-demo-roundtrip-034,NARROW_ROAD,ROUTE_NOTICE,6207,PASSED,true,PASS,false,true,1d667cb4669a3467e52c35a15c4f9d6dfefc62c21a089eb5d9ff67895f633f0e,false,false
upstage-document-roundtrip-035,document-demo-roundtrip-035,NARROW_ROAD,CHECKLIST,6208,PASSED,true,PASS,false,true,4547daf5a1bc7a930aeee7531a5005435b5b46b67da25b9b32d5a8ee07f43ac1,false,false
upstage-document-roundtrip-036,document-demo-roundtrip-036,NARROW_ROAD,SAFETY_MANUAL,6209,PASSED,true,PASS,true,true,90aa5a4da46f91aa897f277d998e04d00ab7682ae1da369dd455940f907c9c00,false,false
upstage-document-roundtrip-037,document-demo-roundtrip-037,NARROW_ROAD,SHIFT_BULLETIN,6210,PASSED,true,PASS,false,true,8902b3fe41f7683557678a0d2716001799644a0a830a70eec67ee91871e3bf9d,false,false
upstage-document-roundtrip-038,document-demo-roundtrip-038,NARROW_ROAD,NEAR_MISS_REVIEW,6211,PASSED,true,PASS,false,true,7e348735b7ec4befb27bb1b69699c44b983001274d8d0aaa506bc9f05271e780,false,false
upstage-document-roundtrip-039,document-demo-roundtrip-039,NARROW_ROAD,ROUTE_NOTICE,6212,PASSED,true,PASS,true,true,ff8e22add8af9db3c46fbb0861dccee6f851f0b7586afba7318c44059cedf408,false,false
upstage-document-roundtrip-040,document-demo-roundtrip-040,NARROW_ROAD,CHECKLIST,6213,PASSED,true,PASS,false,true,c4660ae93ca94362a0fe20eca6d2ed8c0e55cbfb5e48205fce1636a19e5f0f80,false,false
upstage-document-roundtrip-041,document-demo-roundtrip-041,REST_GUIDANCE,SAFETY_MANUAL,6214,PASSED,true,PASS,false,true,85b8ee16ecd2f66dbd5edf463586c37738330a89737350f42d668050bdeb687f,false,false
upstage-document-roundtrip-042,document-demo-roundtrip-042,REST_GUIDANCE,SHIFT_BULLETIN,6215,PASSED,true,PASS,false,true,56f689488e7359e1906cc9f1652585c020e584ab96fe47786d14bdada33b8745,false,false
upstage-document-roundtrip-043,document-demo-roundtrip-043,REST_GUIDANCE,NEAR_MISS_REVIEW,6216,PASSED,true,PASS,true,true,bfe5f84925c01ac6f0ce5d8a3e4c4d718a46201d6e8c7a5d239642e264fcac69,false,false
upstage-document-roundtrip-044,document-demo-roundtrip-044,REST_GUIDANCE,ROUTE_NOTICE,6217,PASSED,true,PASS,false,true,c1990b10f4086279e7558822518a4bc7ade5783a140f42d82536e52b73cbe2f3,false,false
upstage-document-roundtrip-045,document-demo-roundtrip-045,REST_GUIDANCE,CHECKLIST,6218,PASSED,true,PASS,false,true,451ed3c3646f30fc9b9b0eb8c4d15c63c15feae0bff35d90fce34a94227e1edf,false,false
upstage-document-roundtrip-046,document-demo-roundtrip-046,REST_GUIDANCE,SAFETY_MANUAL,6219,PASSED,true,PASS,true,true,75c614aed35d69d11342c61a6a4ae43a57b7975eebdeef10e40640981ec398e3,false,false
upstage-document-roundtrip-047,document-demo-roundtrip-047,REST_GUIDANCE,SHIFT_BULLETIN,6220,PASSED,true,PASS,false,true,eb59436ee967643133c35b2b795b258cb65aa22928f0386cabcf1b8ab6dbaaab,false,false
upstage-document-roundtrip-048,document-demo-roundtrip-048,REST_GUIDANCE,NEAR_MISS_REVIEW,6221,PASSED,true,PASS,false,true,7c443c93eb4c05c3cb8295d9805c4747448e12faca7e05ef4329dea45bbd6fdb,false,false
upstage-document-roundtrip-049,document-demo-roundtrip-049,REST_GUIDANCE,ROUTE_NOTICE,6222,PASSED,true,PASS,true,true,571294a2093b688e5bd2e9f17a1cfc406205ce71011dca48b070f6bd2ea0958c,false,false
upstage-document-roundtrip-050,document-demo-roundtrip-050,REST_GUIDANCE,CHECKLIST,6223,PASSED,true,PASS,false,true,a91a7270d5930e8a71748b345354c1dd68705c13623681d9002e5b23562a0ea2,false,false
upstage-document-roundtrip-051,document-demo-roundtrip-051,SAFE_DELAY,SAFETY_MANUAL,6224,PASSED,true,PASS,false,true,04a0540b091f3f0406ba5f4553427679f529f8787d75b10f4bbca34058980338,false,false
upstage-document-roundtrip-052,document-demo-roundtrip-052,SAFE_DELAY,SHIFT_BULLETIN,6225,PASSED,true,PASS,false,true,aa801f4b16b3de2e927354cdcb5156d6eb027b583d07469eea72614270e8aa36,false,false
upstage-document-roundtrip-053,document-demo-roundtrip-053,SAFE_DELAY,NEAR_MISS_REVIEW,6226,PASSED,true,PASS,true,true,51319217047ccc1254033f4b1948b2886f2027472aa5801c5d1247e6e68f03ce,false,false
upstage-document-roundtrip-054,document-demo-roundtrip-054,SAFE_DELAY,ROUTE_NOTICE,6227,PASSED,true,PASS,false,true,a2ebe9b07d8b77a22bbf5620495e45f74524c92cc7780ac90235ba727ed62e3b,false,false
upstage-document-roundtrip-055,document-demo-roundtrip-055,SAFE_DELAY,CHECKLIST,6228,PASSED,true,PASS,false,true,4282079597061fd0f102ced6655aef4e16467cf504b3facf01ce4ad7673e86b7,false,false
upstage-document-roundtrip-056,document-demo-roundtrip-056,SAFE_DELAY,SAFETY_MANUAL,6229,PASSED,true,PASS,true,true,58fb3912ca6bbb6f4f98a3831f194cc69d99e407c000d58a9c717d49f798b4bb,false,false
upstage-document-roundtrip-057,document-demo-roundtrip-057,SAFE_DELAY,SHIFT_BULLETIN,6230,PASSED,true,PASS,false,true,996bb563def6a16d98a2c7b1db0cd8155f622a8f2b89aa4d25fafac4822e3013,false,false
upstage-document-roundtrip-058,document-demo-roundtrip-058,SAFE_DELAY,NEAR_MISS_REVIEW,6231,PASSED,true,PASS,false,true,49f2552bbcab53e0b39207a6263a2a99b76f222ffb71d37eff4cee14a29bbd3c,false,false
upstage-document-roundtrip-059,document-demo-roundtrip-059,SAFE_DELAY,ROUTE_NOTICE,6232,PASSED,true,PASS,true,true,f26ceacede8b5713644d731d326b52ab30d27842d8d9a25e3bcbda0a475cdf58,false,false
upstage-document-roundtrip-060,document-demo-roundtrip-060,SAFE_DELAY,CHECKLIST,6233,PASSED,true,PASS,false,true,114faea1f3b534bdd8436e11a5dd5e7149387a67279285011cb84acff15ca5b3,false,false
