variantId,parentFixtureId,split,dataMode,isDemo,generatorVersion,seed,mutationId,mutationCategory,mutationDescription,currentBudget,minimumForecastBudget,breachStatus,timeToBreachMinutes,breachStopId,confidenceScore
frozen-scenario-heat-heavy-stairs-v1-remaining-weight-plus-10pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6188,remaining-weight-plus-10pct,WORKLOAD,남은 중량 10% 증가,41.95,29.84208,PREDICTED,30,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-rain-plus-2mmh-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6189,rain-plus-2mmh,WEATHER,시간당 강수량 2mm 증가,41.95,29.9323,PREDICTED,29.710274,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-visibility-minus-20pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6190,visibility-minus-20pct,WEATHER,시정 20% 감소,41.95,29.9278,PREDICTED,30,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-uphill-plus-2pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6191,uphill-plus-2pct,ROUTE,현재 경로 경사 2%p 증가,41.95,29.788911,PREDICTED,30,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-incident-factor-plus-005-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6192,incident-factor-plus-005,ROUTE,지역 incident factor 0.05 증가,41.95,29.894467,PREDICTED,30,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-self-check-missing-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6193,self-check-missing,MISSINGNESS,선택형 자기점검 입력 결측,41.95,30.4528,NO_BREACH_IN_HORIZON,,,65
frozen-scenario-night-novice-area-v1-shift-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6194,shift-plus-30m,SHIFT,누적근무시간 30분 증가,36.81,29.965894,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-shift-plus-60m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6195,shift-plus-60m,SHIFT,누적근무시간 60분 증가,36.81,29.810894,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-continuous-plus-15m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6196,continuous-plus-15m,CONTINUOUS_WORK,연속근무시간 15분 증가,36.81,29.820894,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-continuous-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6197,continuous-plus-30m,CONTINUOUS_WORK,연속근무시간 30분 증가,36.81,29.670894,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-remaining-weight-plus-10pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6198,remaining-weight-plus-10pct,WORKLOAD,남은 중량 10% 증가,36.81,29.927714,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-rain-plus-2mmh-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6199,rain-plus-2mmh,WEATHER,시간당 강수량 2mm 증가,36.81,29.764228,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-visibility-minus-20pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6200,visibility-minus-20pct,WEATHER,시정 20% 감소,36.81,29.970894,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-uphill-plus-2pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6201,uphill-plus-2pct,ROUTE,현재 경로 경사 2%p 증가,36.81,29.859783,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-incident-factor-plus-005-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6202,incident-factor-plus-005,ROUTE,지역 incident factor 0.05 증가,36.81,29.944228,PREDICTED,24,scenario-night-novice-area-v1-stop-008,65
frozen-scenario-night-novice-area-v1-self-check-missing-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6203,self-check-missing,MISSINGNESS,선택형 자기점검 입력 결측,36.81,30.390894,NO_BREACH_IN_HORIZON,,,65
